4;3;1;1;Physics 1;70;5;560.0
4;3;1;2;Algebra;56;5;448.0
4;3;1;3;Mathematical Analysis 1;84;6;672.0
4;3;1;4;Methodology and programming techniques 1;56;5;448.0
4;3;1;5;Industrial safety and ergonomics;8;1;64.0
4;3;1;6;Information Technology;28;2;224.0
4;3;1;7;Circuits Theory 1;48;4;384.0
4;3;1;8;Humanities Subject;28;2;224.0
4;3;2;1;Physics 2;84;7;672.0
4;3;2;2;Mathematical Analysis 2;56;4;448.0
4;3;2;3;Probability and statistics;42;3;336.0
4;3;2;4;Circuits Theory 2;48;5;384.0
4;3;2;5;Methods and Programming Techniques 2;42;3;336.0
4;3;2;6;Electronic  Devices;56;5;448.0
4;3;2;7;Electronic Metrology;28;3;224.0
4;3;3;1;Signals Theory;70;6;560.0
4;3;3;2;Simulation of Electronic Circuits;28;3;224.0
4;3;3;3;Computational Techniques;28;3;224.0
4;3;3;4;Analogue Electronic Circuits 1;84;6;672.0
4;3;3;5;Digital Electronics and Programmable Devices;84;6;672.0
4;3;3;6;Introduction to Telecommunications;42;5;336.0
4;3;3;7;Protection of intellectual property;7;1;56.0
4;3;4;1;Microprocessor Technology 1;42;4;336.0
4;3;4;2;Digital Signal Processing;56;4;448.0
4;3;4;3;Operating Systems;56;4;448.0
4;3;4;4;Optoelectronics;42;4;336.0
4;3;4;5;Computer Networks;56;5;448.0
4;3;4;6;Analogue Electronic Circuits 2;56;5;448.0
4;3;4;7;Fundamentals of Economics, Finance and Business Law;28;2;224.0
4;3;4;8;Introduction to Mechanics;28;2;224.0
4;3;4;9;CAD and 3D modeling;15;2;120.0
4;3;5;1;Microprocessor Technology  2;42;4;336.0
4;3;5;2;Telecommunication Networks and Systems;52;5;416.0
4;3;5;3;Computer measurement systems;28;4;224.0
4;3;5;4;Integrated circuits and systems;49;4;392.0
4;3;5;5;Object-Oriented Programming Language;56;4;448.0
4;3;5;6;RF Electronics;52;5;416.0
4;3;5;7;Design Laboratory;28;4;224.0
4;3;6;1;Wireless techniques and systems;38;4;304.0
4;3;6;2;Elective Module sem 6;210;15;1680.0
4;3;7;1;Thesis seminar;28;3;224.0
4;3;7;2;Elective Module sem 7;168;12;1344.0

