12;3;1;1;Algebra i rachunek ró¿niczkowy;70;6;490.0
12;3;1;2;Chemia;56;6;392.0
12;3;1;3;Fizyka;42;4;294.0
12;3;1;4;Materia³oznawstwo;42;4;294.0
12;3;1;5;Mechanika i wytrzyma³oœæ materia³ów;56;4;392.0
12;3;1;6;Prawo gospodarcze;28;2;196.0
12;3;1;7;Podstawy ekonomii;42;4;294.0
12;3;2;1;Rachunek ca³kowy;56;6;392.0
12;3;2;2;Procesy elektromagnetyczne;42;4;294.0
12;3;2;3;Informatyka;70;6;490.0
12;3;2;4;Projektowanie in¿ynierskie;70;6;490.0
12;3;2;5;Procesy produkcyjne;56;4;392.0
12;3;2;6;Maszynoznawstwo;42;4;294.0
12;3;3;1;Matematyka z elementami statystyki;42;6;294.0
12;3;3;2;Elektrotechnika i elektronika;28;4;196.0
12;3;3;3;Logistyka;28;2;196.0
12;3;3;4;Socjologia;28;2;196.0
12;3;3;5;Podstawy zarz¹dzania i przedsiêbiorczoœci;56;6;392.0
12;3;3;6;AA_Modu³ obieralny;112;10;784.0
12;3;4;1;Zarz¹dzanie produkcj¹ i us³ugami;42;4;294.0
12;3;4;2;Badania operacyjne;42;4;294.0
12;3;4;3;Metrologia;28;4;196.0
12;3;4;4;Marketing przemys³owy;42;4;294.0
12;3;4;5;Rachunek kosztów dla in¿ynierów;42;4;294.0
12;3;4;6;AA_Modu³ obieralny;112;10;784.0
12;3;5;1;Automatyzacja i robotyzacja procesów produkcyjnych;42;5;294.0
12;3;5;2;Niezawodnoœæ systemów;42;4;294.0
12;3;5;3;Projektowanie i modelowanie systemów produkcyjnych w klasie œwiatowej;56;5;392.0
12;3;5;4;Ochrona w³asnoœci intelektualnej;28;2;196.0
12;3;5;5;Ekologia i zarz¹dzanie œrodowiskowe;28;2;196.0
12;3;5;6;Zarz¹dzanie jakoœci¹;28;2;196.0
12;3;5;7;AA_Modu³ obieralny;112;10;784.0
12;3;6;1;Sterowanie procesami produkcyjnymi;70;5;490.0
12;3;6;2;Zarz¹dzanie bezpieczeñstwem;42;2;294.0
12;3;6;3;Seminarium dyplomowe - wprowadzenie do badañ naukowych;14;2;98.0
12;3;6;4;AA_Modu³ obieralny;112;10;784.0
12;3;7;1;AA_Modu³ obieralny;112;10;784.0
12;3;7;2;Modu³ w jêzyku obcym;56;5;392.0

